run,accuracy,features,num_features,feature_set,stability,feature_set_name
41,48,"['Avg_Utilization_Ratio', 'attrition_Flag', 'education_Level', 'gender', 'income_Category']",5,"('Avg_Utilization_Ratio', 'attrition_Flag', 'education_Level', 'gender', 'income_Category')",46.8,"Avg_Utilization_Ratio, attrition_Flag, education_Level, gender, income_Category"
42,70,"['Avg_Utilization_Ratio', 'CLIENTNUM', 'card_Category', 'income_Category']",4,"('Avg_Utilization_Ratio', 'CLIENTNUM', 'card_Category', 'income_Category')",48.5,"Avg_Utilization_Ratio, CLIENTNUM, card_Category, income_Category"
43,54,"['card_Category', 'education_Level', 'income_Category', 'marital_Status']",4,"('card_Category', 'education_Level', 'income_Category', 'marital_Status')",60.5,"card_Category, education_Level, income_Category, marital_Status"
44,64,"['card_Category', 'education_Level', 'income_Category']",3,"('card_Category', 'education_Level', 'income_Category')",65.33333333333333,"card_Category, education_Level, income_Category"
45,69,"['CLIENTNUM', 'Total_Trans_Ct', 'education_Level', 'income_Category', 'marital_Status']",5,"('CLIENTNUM', 'Total_Trans_Ct', 'education_Level', 'income_Category', 'marital_Status')",46.4,"CLIENTNUM, Total_Trans_Ct, education_Level, income_Category, marital_Status"
46,30,"['attrition_Flag', 'education_Level', 'income_Category']",3,"('attrition_Flag', 'education_Level', 'income_Category')",58.666666666666664,"attrition_Flag, education_Level, income_Category"
47,30,"['Avg_Utilization_Ratio', 'Dependent_count', 'education_Level', 'income_Category', 'marital_Status']",5,"('Avg_Utilization_Ratio', 'Dependent_count', 'education_Level', 'income_Category', 'marital_Status')",51.2,"Avg_Utilization_Ratio, Dependent_count, education_Level, income_Category, marital_Status"
48,69,"['CLIENTNUM', 'Total_Trans_Ct', 'attrition_Flag', 'education_Level', 'income_Category', 'marital_Status']",6,"('CLIENTNUM', 'Total_Trans_Ct', 'attrition_Flag', 'education_Level', 'income_Category', 'marital_Status')",42.0,"CLIENTNUM, Total_Trans_Ct, attrition_Flag, education_Level, income_Category, marital_Status"
49,-3,"['education_Level', 'income_Category']",2,"('education_Level', 'income_Category')",78.0,"education_Level, income_Category"
50,47,"['Avg_Utilization_Ratio', 'attrition_Flag', 'card_Category', 'education_Level', 'income_Category']",5,"('Avg_Utilization_Ratio', 'attrition_Flag', 'card_Category', 'education_Level', 'income_Category')",52.800000000000004,"Avg_Utilization_Ratio, attrition_Flag, card_Category, education_Level, income_Category"
