run,rule,leaf_condition,rows,win,depth,num_conditions,rule_key
15,(Avg_Utilization_Ratio <= 0.125) AND (Avg_Utilization_Ratio > 0) AND (card_Category == Blue),card_Category == Blue,7,38,2,3,(Avg_Utilization_Ratio <= 0.125) AND (Avg_Utilization_Ratio > 0) AND (card_Category == Blue)
15,(Avg_Utilization_Ratio <= 0.125) AND (Avg_Utilization_Ratio > 0) AND (card_Category == Blue) AND (gender == M),gender == M,6,49,3,4,(Avg_Utilization_Ratio <= 0.125) AND (Avg_Utilization_Ratio > 0) AND (card_Category == Blue) AND (gender == M)
15,(Avg_Utilization_Ratio <= 0.125) AND (Avg_Utilization_Ratio > 0) AND (card_Category == Blue) AND (gender == M) AND (CLIENTNUM <= 715731033),CLIENTNUM <= 715731033,3,67,4,5,(Avg_Utilization_Ratio <= 0.125) AND (Avg_Utilization_Ratio > 0) AND (card_Category == Blue) AND (gender == M) AND (CLIENTNUM <= 715731033)
15,(Avg_Utilization_Ratio <= 0.125) AND (Avg_Utilization_Ratio > 0) AND (card_Category == Blue) AND (gender == M) AND (CLIENTNUM > 715731033),CLIENTNUM > 715731033,3,31,4,5,(Avg_Utilization_Ratio <= 0.125) AND (Avg_Utilization_Ratio > 0) AND (card_Category == Blue) AND (gender == M) AND (CLIENTNUM > 715731033)
15,(Avg_Utilization_Ratio <= 0.125) AND (Avg_Utilization_Ratio <= 0),Avg_Utilization_Ratio <= 0,6,-25,1,2,(Avg_Utilization_Ratio <= 0.125) AND (Avg_Utilization_Ratio <= 0)
15,(Avg_Utilization_Ratio <= 0.125) AND (Avg_Utilization_Ratio <= 0) AND (education_Level == Uneducated),education_Level == Uneducated,3,-41,2,3,(Avg_Utilization_Ratio <= 0.125) AND (Avg_Utilization_Ratio <= 0) AND (education_Level == Uneducated)
15,(Avg_Utilization_Ratio > 0.125),Avg_Utilization_Ratio > 0.125,15,-16,0,1,(Avg_Utilization_Ratio > 0.125)
15,(Avg_Utilization_Ratio > 0.125) AND (education_Level == High School),education_Level == High School,4,-8,1,2,(Avg_Utilization_Ratio > 0.125) AND (education_Level == High School)
15,(Avg_Utilization_Ratio > 0.125) AND (education_Level == Unknown),education_Level == Unknown,4,-9,1,2,(Avg_Utilization_Ratio > 0.125) AND (education_Level == Unknown)
15,(Avg_Utilization_Ratio > 0.125) AND (education_Level == Uneducated),education_Level == Uneducated,4,-25,1,2,(Avg_Utilization_Ratio > 0.125) AND (education_Level == Uneducated)
16,(income_Category == $80K - $120K),income_Category == $80K - $120K,9,31,0,1,(income_Category == $80K - $120K)
16,(income_Category == $80K - $120K) AND (education_Level == Uneducated),education_Level == Uneducated,3,48,1,2,(income_Category == $80K - $120K) AND (education_Level == Uneducated)
