run,accuracy,features,num_features,feature_set,raw_output,stability,feature_set_name
21,53,"['Avg_Utilization_Ratio', 'Months_on_book', 'card_Category', 'education_Level', 'gender', 'marital_Status']",6,"('Avg_Utilization_Ratio', 'Months_on_book', 'card_Category', 'education_Level', 'gender', 'marital_Status')"," #rows  win
     8   47    if card_Category == Silver
     5   67    |  if Months_on_book <= 39;
     3   12    |  if Months_on_book > 39;
    22  -17    if card_Category == Blue
    12    1    |  if gender == M
     4   -1    |  |  if marital_Status == Married
     3    1    |  |  |  if education_Level == Graduate;
     5   -3    |  |  if marital_Status == Single;
    10  -39    |  if gender == F
     3  -24    |  |  if Avg_Utilization_Ratio > 0.257;
     7  -46    |  |  if Avg_Utilization_Ratio <= 0.257
     3  -32    |  |  |  if Months_on_book <= 27;
     4  -56    |  |  |  if Months_on_book > 27;
19 6 gender, education_Level, marital_Status, card_Category, Months_on_book, Avg_Utilization_Ratio
69 53
",37.0,"Avg_Utilization_Ratio, Months_on_book, card_Category, education_Level, gender, marital_Status"
22,20,"['Contacts_Count_12_mon', 'education_Level', 'income_Category', 'marital_Status']",4,"('Contacts_Count_12_mon', 'education_Level', 'income_Category', 'marital_Status')"," #rows  win
     3   68    if income_Category == $120K +;
    10   11    if income_Category == $80K - $120K
     5   54    |  if Contacts_Count_12_mon > 3;
     5  -30    |  if Contacts_Count_12_mon <= 3;
     5   -6    if income_Category == $60K - $80K
     3  -24    |  if marital_Status == Married;
     7  -19    if income_Category == Less than $40K
     4  -22    |  if education_Level == Unknown
     3  -26    |  |  if marital_Status == Married;
     3  -22    if income_Category == Unknown;
19 4 education_Level, marital_Status, income_Category, Contacts_Count_12_mon
64 20
",54.50000000000001,"Contacts_Count_12_mon, education_Level, income_Category, marital_Status"
23,56,"['CLIENTNUM', 'Total_Amt_Chng_Q4_Q1', 'Total_Relationship_Count', 'education_Level', 'income_Category']",5,"('CLIENTNUM', 'Total_Amt_Chng_Q4_Q1', 'Total_Relationship_Count', 'education_Level', 'income_Category')"," #rows  win
    14   18    if Total_Amt_Chng_Q4_Q1 > 0.773
     5   54    |  if Total_Relationship_Count <= 3
     3   40    |  |  if education_Level == Graduate;
     9   -1    |  if Total_Relationship_Count > 3
     3    2    |  |  if income_Category == $60K - $80K;
     3  -19    |  |  if income_Category == $40K - $60K;
    16  -16    if Total_Amt_Chng_Q4_Q1 <= 0.773
     8  -12    |  if education_Level == Graduate
     5   -6    |  |  if CLIENTNUM <= 719192808;
     3  -23    |  |  if CLIENTNUM > 719192808;
     3  -25    |  if education_Level == Unknown;
19 5 CLIENTNUM, education_Level, income_Category, Total_Relationship_Count, Total_Amt_Chng_Q4_Q1
62 56
",36.4,"CLIENTNUM, Total_Amt_Chng_Q4_Q1, Total_Relationship_Count, education_Level, income_Category"
24,76,"['Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'card_Category', 'education_Level', 'income_Category', 'marital_Status']",5,"('Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'card_Category', 'education_Level', 'income_Category', 'marital_Status')"," #rows  win
     7   74    if card_Category == Silver
     3   82    |  if education_Level == High School;
    23  -22    if card_Category == Blue
    14   -6    |  if marital_Status == Married
    10    5    |  |  if Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1 <= 0.0001953
     5   21    |  |  |  if income_Category == $80K - $120K;
     4  -37    |  |  if Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1 > 0.0001953;
     6  -57    |  if marital_Status == Single;
19 5 education_Level, marital_Status, income_Category, card_Category, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1
63 76
",52.0,"Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, card_Category, education_Level, income_Category, marital_Status"
25,46,"['Avg_Utilization_Ratio', 'income_Category', 'marital_Status']",3,"('Avg_Utilization_Ratio', 'income_Category', 'marital_Status')"," #rows  win
     3   64    if income_Category == $120K +;
     9    5    if income_Category == $60K - $80K
     5  -13    |  if marital_Status == Married;
     3   -2    if income_Category == $40K - $60K;
    11  -23    if income_Category == Less than $40K
     8  -13    |  if Avg_Utilization_Ratio > 0;
     3  -49    |  if Avg_Utilization_Ratio <= 0;
19 3 marital_Status, income_Category, Avg_Utilization_Ratio
55 46
",60.66666666666667,"Avg_Utilization_Ratio, income_Category, marital_Status"
26,67,"['CLIENTNUM', 'attrition_Flag', 'card_Category', 'income_Category', 'marital_Status']",5,"('CLIENTNUM', 'attrition_Flag', 'card_Category', 'income_Category', 'marital_Status')"," #rows  win
     4   24    if card_Category == Silver;
    25   -7    if card_Category == Blue
     8   -4    |  if income_Category == $80K - $120K
     5    9    |  |  if marital_Status == Married
     4   14    |  |  |  if attrition_Flag == Existing Customer;
     7  -18    |  if income_Category == $40K - $60K
     4   -2    |  |  if CLIENTNUM > 713417433;
     3  -39    |  |  if CLIENTNUM <= 713417433;
     4  -35    |  if income_Category == Less than $40K;
19 5 CLIENTNUM, attrition_Flag, marital_Status, income_Category, card_Category
68 67
",40.8,"CLIENTNUM, attrition_Flag, card_Category, income_Category, marital_Status"
27,57,"['Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'education_Level', 'income_Category', 'marital_Status']",4,"('Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'education_Level', 'income_Category', 'marital_Status')"," #rows  win
     6   39    if income_Category == $120K +
     3   61    |  if marital_Status == Married;
     6   10    if income_Category == $80K - $120K;
     6    5    if income_Category == $60K - $80K
     4   16    |  if education_Level == High School;
     5  -18    if income_Category == $40K - $60K;
     6  -31    if income_Category == Less than $40K
     3  -18    |  if Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2 > 0.99988;
     3  -43    |  if Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2 <= 0.99988;
19 4 education_Level, marital_Status, income_Category, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
55 57
",56.49999999999999,"Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, education_Level, income_Category, marital_Status"
28,69,"['Total_Trans_Amt', 'education_Level', 'income_Category']",3,"('Total_Trans_Amt', 'education_Level', 'income_Category')"," #rows  win
     9   22    if education_Level == Graduate
     3   28    |  if income_Category == $120K +;
     3    4    |  if income_Category == $40K - $60K;
     6   -4    if education_Level == Unknown
     3   12    |  if Total_Trans_Amt <= 3230;
     3  -21    |  if Total_Trans_Amt > 3230;
     6  -18    if education_Level == Uneducated;
     5  -25    if education_Level == High School;
19 3 education_Level, income_Category, Total_Trans_Amt
66 69
",56.666666666666664,"Total_Trans_Amt, education_Level, income_Category"
29,66,"['Months_on_book', 'card_Category', 'education_Level', 'income_Category', 'marital_Status']",5,"('Months_on_book', 'card_Category', 'education_Level', 'income_Category', 'marital_Status')"," #rows  win
    14   35    if card_Category == Silver
     8   41    |  if income_Category == $80K - $120K
     4   39    |  |  if education_Level == Graduate
     3   42    |  |  |  if marital_Status == Single;
    14  -44    if card_Category == Blue
     6  -21    |  if Months_on_book > 36
     3  -14    |  |  if income_Category == $120K +;
     8  -62    |  if Months_on_book <= 36;
19 5 education_Level, marital_Status, income_Category, card_Category, Months_on_book
74 66
",52.800000000000004,"Months_on_book, card_Category, education_Level, income_Category, marital_Status"
30,53,"['education_Level', 'income_Category', 'marital_Status']",3,"('education_Level', 'income_Category', 'marital_Status')"," #rows  win
     9   24    if income_Category == $80K - $120K
     3   67    |  if education_Level == Unknown;
     4   20    |  if education_Level == Graduate
     3    4    |  |  if marital_Status == Single;
     3   23    if income_Category == $120K +;
     5   13    if income_Category == $60K - $80K;
     5  -15    if income_Category == $40K - $60K;
     5  -29    if income_Category == Less than $40K;
     3  -44    if income_Category == Unknown;
19 3 education_Level, marital_Status, income_Category
66 53
",72.0,"education_Level, income_Category, marital_Status"
31,65,"['Total_Trans_Amt', 'card_Category', 'education_Level', 'gender', 'income_Category', 'marital_Status']",6,"('Total_Trans_Amt', 'card_Category', 'education_Level', 'gender', 'income_Category', 'marital_Status')"," #rows  win
     9   28    if income_Category == $80K - $120K
     3   72    |  if Total_Trans_Amt > 4339;
     6    6    |  if Total_Trans_Amt <= 4339
     3   20    |  |  if education_Level == Graduate;
     3   16    if income_Category == Unknown;
     5    7    if income_Category == $60K - $80K
     4  -15    |  if card_Category == Blue
     3  -20    |  |  if marital_Status == Single;
     6  -38    if income_Category == $40K - $60K
     4  -45    |  if gender == F;
     5  -42    if income_Category == Less than $40K;
19 6 gender, education_Level, marital_Status, income_Category, card_Category, Total_Trans_Amt
67 65
",44.666666666666664,"Total_Trans_Amt, card_Category, education_Level, gender, income_Category, marital_Status"
