run,rule,leaf_condition,rows,win,depth,num_conditions,rule_key
48,(Avg_Utilization_Ratio > 0.105) AND (education_Level == Unknown),education_Level == Unknown,3,-9,1,2,(Avg_Utilization_Ratio > 0.105) AND (education_Level == Unknown)
49,(Total_Trans_Amt > 4724),Total_Trans_Amt > 4724,6,46,0,1,(Total_Trans_Amt > 4724)
49,(Total_Trans_Amt <= 4724),Total_Trans_Amt <= 4724,24,-11,0,1,(Total_Trans_Amt <= 4724)
49,(Total_Trans_Amt <= 4724) AND (Avg_Utilization_Ratio > 0),Avg_Utilization_Ratio > 0,13,0,1,2,(Total_Trans_Amt <= 4724) AND (Avg_Utilization_Ratio > 0)
49,(Total_Trans_Amt <= 4724) AND (Avg_Utilization_Ratio > 0) AND (education_Level == High School),education_Level == High School,4,9,2,3,(Total_Trans_Amt <= 4724) AND (Avg_Utilization_Ratio > 0) AND (education_Level == High School)
49,(Total_Trans_Amt <= 4724) AND (Avg_Utilization_Ratio > 0) AND (education_Level == High School) AND (attrition_Flag == Existing Customer),attrition_Flag == Existing Customer,3,14,3,4,(Total_Trans_Amt <= 4724) AND (Avg_Utilization_Ratio > 0) AND (education_Level == High School) AND (attrition_Flag == Existing Customer)
49,(Total_Trans_Amt <= 4724) AND (Avg_Utilization_Ratio > 0) AND (education_Level == Unknown),education_Level == Unknown,3,0,2,3,(Total_Trans_Amt <= 4724) AND (Avg_Utilization_Ratio > 0) AND (education_Level == Unknown)
49,(Total_Trans_Amt <= 4724) AND (Avg_Utilization_Ratio > 0) AND (education_Level == Graduate),education_Level == Graduate,4,-3,2,3,(Total_Trans_Amt <= 4724) AND (Avg_Utilization_Ratio > 0) AND (education_Level == Graduate)
49,(Total_Trans_Amt <= 4724) AND (Avg_Utilization_Ratio <= 0),Avg_Utilization_Ratio <= 0,11,-25,1,2,(Total_Trans_Amt <= 4724) AND (Avg_Utilization_Ratio <= 0)
49,(Total_Trans_Amt <= 4724) AND (Avg_Utilization_Ratio <= 0) AND (income_Category == $80K - $120K),income_Category == $80K - $120K,3,17,2,3,(Total_Trans_Amt <= 4724) AND (Avg_Utilization_Ratio <= 0) AND (income_Category == $80K - $120K)
49,(Total_Trans_Amt <= 4724) AND (Avg_Utilization_Ratio <= 0) AND (income_Category == $40K - $60K),income_Category == $40K - $60K,4,-41,2,3,(Total_Trans_Amt <= 4724) AND (Avg_Utilization_Ratio <= 0) AND (income_Category == $40K - $60K)
50,(card_Category == Silver) AND (Avg_Utilization_Ratio > 0.05),Avg_Utilization_Ratio > 0.05,4,76,1,2,(card_Category == Silver) AND (Avg_Utilization_Ratio > 0.05)
50,(card_Category == Silver) AND (Avg_Utilization_Ratio <= 0.05),Avg_Utilization_Ratio <= 0.05,3,42,1,2,(card_Category == Silver) AND (Avg_Utilization_Ratio <= 0.05)
50,(card_Category == Blue) AND (income_Category == $120K +),income_Category == $120K +,6,0,1,2,(card_Category == Blue) AND (income_Category == $120K +)
50,(card_Category == Blue) AND (income_Category == Unknown),income_Category == Unknown,4,-37,1,2,(card_Category == Blue) AND (income_Category == Unknown)
50,(card_Category == Blue) AND (income_Category == Unknown) AND (marital_Status == Single),marital_Status == Single,3,-31,2,3,(card_Category == Blue) AND (income_Category == Unknown) AND (marital_Status == Single)
